# variant,"BP, no_gating"
# success_threshold,0.875
# n_runs_default,1000
# n_runs_for_T>=10000000,100

## success_rate
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2850,0.2470,0.1870,0.0630,0.0330,0.0090,0.0020
1e4,0.6910,0.6780,0.6720,0.6010,0.4430,0.2100,0.1650
1e5,0.7530,0.7640,0.7730,0.7900,0.7230,0.5920,0.5070
1e6,0.7890,0.7740,0.8350,0.8270,0.8340,0.7850,0.6860
1e7,0.7100,0.8000,0.9000,0.8300,0.9300,0.9100,0.8100

## avg_payoff
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.3200,0.3180,0.3254,0.3424,0.3716,0.4128,0.4351
1e3,0.6335,0.6210,0.6088,0.5970,0.6050,0.6387,0.6613
1e4,0.8582,0.8499,0.8418,0.8152,0.7872,0.7684,0.7701
1e5,0.9201,0.9229,0.9201,0.9148,0.8872,0.8576,0.8471
1e6,0.9432,0.9377,0.9520,0.9467,0.9381,0.9138,0.8933
1e7,0.9274,0.9489,0.9734,0.9551,0.9725,0.9586,0.9279
