# variant,"LP, gated"
# success_threshold,0.875
# n_runs_default,1000
# n_runs_for_T>=10000000,100

## success_rate
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2680,0.2230,0.1740,0.1370,0.0810,0.0310,0.0330
1e4,0.6660,0.6790,0.6470,0.5760,0.4710,0.4070,0.3370
1e5,0.7750,0.7560,0.7260,0.6740,0.6030,0.5430,0.4690
1e6,0.7750,0.7620,0.7440,0.7030,0.6540,0.5570,0.4590
1e7,0.8300,0.8200,0.8100,0.7000,0.7000,0.6000,0.3900

## avg_payoff
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.3225,0.3106,0.3025,0.3004,0.3061,0.3155,0.3268
1e3,0.6245,0.6080,0.6003,0.6042,0.6194,0.6366,0.6500
1e4,0.8510,0.8493,0.8484,0.8382,0.8264,0.8240,0.8214
1e5,0.9271,0.9220,0.9213,0.9136,0.9034,0.8969,0.8907
1e6,0.9376,0.9374,0.9386,0.9361,0.9324,0.9242,0.9125
1e7,0.9550,0.9541,0.9546,0.9387,0.9457,0.9357,0.9114
