# variant,"LP, no_gating"
# success_threshold,0.875
# n_runs_default,1000
# n_runs_for_T>=10000000,100

## success_rate
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2610,0.2370,0.1250,0.0390,0.0180,0.0050,0.0020
1e4,0.7010,0.6450,0.5740,0.4670,0.3060,0.1690,0.1280
1e5,0.7650,0.7670,0.7090,0.6930,0.5790,0.4570,0.3780
1e6,0.7840,0.7680,0.7700,0.7420,0.7260,0.6690,0.5680
1e7,0.7200,0.8500,0.7600,0.7200,0.7400,0.6800,0.7200

## avg_payoff
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.3203,0.3163,0.3261,0.3463,0.3789,0.4182,0.4442
1e3,0.6264,0.6186,0.6030,0.6058,0.6198,0.6531,0.6711
1e4,0.8593,0.8433,0.8207,0.7970,0.7743,0.7661,0.7708
1e5,0.9233,0.9242,0.9071,0.8935,0.8677,0.8420,0.8361
1e6,0.9404,0.9385,0.9393,0.9315,0.9207,0.8979,0.8822
1e7,0.9280,0.9621,0.9431,0.9399,0.9325,0.9223,0.9223
