# variant,"SO, gated"
# success_threshold,0.875
# n_runs_default,1000
# n_runs_for_T>=10000000,100

## success_rate
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1e3,0.2820,0.1270,0.0850,0.0500,0.0740,1.0000,1.0000
1e4,0.6760,0.6480,0.5900,0.4500,0.6750,1.0000,1.0000
1e5,0.7430,0.7400,0.7100,0.6360,0.9280,1.0000,1.0000
1e6,0.7700,0.7650,0.7470,0.7050,0.9880,1.0000,1.0000
1e7,0.7800,0.7100,0.7300,0.6300,0.9900,1.0000,1.0000

## avg_payoff
plays_per_run,p=0.0,p=0.1,p=0.3,p=0.5,p=0.7,p=0.9,p=1.0
1e2,0.3221,0.3102,0.2970,0.3070,0.3225,0.3679,0.4007
1e3,0.6315,0.5858,0.5797,0.6240,0.7078,0.8116,0.8709
1e4,0.8538,0.8435,0.8399,0.8345,0.8580,0.9311,0.9842
1e5,0.9188,0.9201,0.9198,0.9055,0.9033,0.9503,0.9981
1e6,0.9379,0.9396,0.9440,0.9386,0.9292,0.9559,0.9998
1e7,0.9435,0.9322,0.9471,0.9386,0.9495,0.9588,1.0000
